TEXT DATA,LABEL
"MANAM EADANNA PIKITHE 100 MANDI VASTARU
EAM CHESTAM NUVVU NENU PIKINDI EAMI LEDU",Non stressed
Block buster bomma mass movie,Non stressed
Avadi battarala basavayya,Non stressed
"I'm from CJITS College.... remembering those memorable day's happyyyyyy to seee this episode ..
Waiting for next episode-2",Non stressed
ఆంటీ మీరు చాలా మంచివాళ్ళు,Non stressed
Deepthi expression superrrrr,Non stressed
మేడం గుర్రం లాగా ఉంది,Non stressed
Anna your videos of super,Non stressed
Avunu bro sagam thisatharu,Non stressed
"పాప చెప్పింది గా
వాడికి రాకపోతే నేను తొక్కుతా అని అలాగే ఇక్కడ కూడా పాపే తొక్కుతుంది అనమాట",Non stressed
 @smithdave712  i thought u frm Poland,Non stressed
Real gaa kudaa IT vaalla knowledge yilaage vuntundhaa?,Non stressed
taste lekunda pothundhi janalaki chi,Non stressed
"You also looking good, don't feel insecure bro",Non stressed
"Bro, ఆ laptop లిడ్ ని నిజంగానే అంత గట్టిగా క్లోజ్ చేసిందా?",Non stressed
Nice looking mam,Non stressed
Thinnu thana real mom,Non stressed
Nee bonda ra,Non stressed
షన్ను తో అట్లుంటాది మరి,Non stressed
Comedy ledhu adhey comedy,Non stressed
Lovely capul siri srihan,Non stressed
" @vanajaramoji9745  mother tongue Telugu, but speak Kannada a lot Andi",Non stressed
It is a process entertainment,Non stressed
Small things with cute vibes,Non stressed
Basthi Boys Web series,Non stressed
"Script lo velu petti kelakadam alavatega, set ithey na goppa ani, cinema dobbithey director fault ani veellaki alavatega",Non stressed
Medame super ga undhi ra,Non stressed
సబ్ స్క్రైబ్ చేస్తాం,Non stressed
హృదయాన్ని కదిలించిన సన్నివేశంచూస్తుంటేనే కళ్ళలో నుంచి నీళ్లు వస్తున్నాయి,Non stressed
 @Shiva-ro1qn  అచ్చ తెలుగు పదం కాదు అది రేశం కి రోషం కి చాలా తేడా ఉంది ముందు తెలుసుకో అన్న,Non stressed
Srihan and Satya baaane mix avutunnaru … next nibba and nibbi of the house,Non stressed
" @kumaraswamypangi6021  appu adugutanu emo ani kanisam abbailu kuda ravatam ledu mavaa
Nenu evariki chepukovali",Non stressed
Hvvvvv hmm,Non stressed
Sooo cute Ann vodhina me yidharu chala cute ga untar,Non stressed
Monna sri satya akka vachindi australia lo edo show unte memu kalisam kuda,Non stressed
action super my favorite hero,Non stressed
Love you shannu and vaishu .,Non stressed
Bgm name cheppu anna,Non stressed
Okkasari iethey baguntundhi bro prathi sari saree neyy,Non stressed
Hi bro,Non stressed
​ @karthikkarthi3824  Valle better bro ee Telangana valla over action mundhu hyd lekapothe vallani evadu pattinchukkoru,Non stressed
Sri leela telugu ammaye bayya,Non stressed
"Nijame bro ninnu love chestunna Ani a ammayi chepte, nuvvu okkade nammithe chalu bro Inka evarevaro enduku nammali bro",Non stressed
Series name,Non stressed
 @harishchowdaryyarlagadda5106  vorey suitations valla alla chesindhi and bad friends antunara heroine initialga cheyaledhu kadha rx100 laga,Non stressed
bhaskar award evvali e performance ki,Non stressed
అందుకే చెప్పారు సుధీర్ గారు కమెడియన్ గానే ఉండండి....మూవీస్ సెట్ కవు..... తప్పుగా అనుకోవద్దు,Non stressed
 @paruchurimounika1613  ha ha ha,Non stressed
Super ssssss,Non stressed
Correct nataraj master adapilla lakshaname ledu daaniki,Non stressed
Promosing trailer,Non stressed
మంచు విష్ణు ఆడియో ఫంక్షన్ లో ఒక లేడి పాడిన పాట అది,Non stressed
It's all in head...we humans love only successful persons isn't it ??,Non stressed
Little chotu entanna..vallidiraku inka pelli kaledhu kada,Non stressed
Ee poradi performance virupaksha movie lo excellent,Non stressed
 @lucifer8082  నువ్వు కనిపెట్టు పనికి వచ్చేవి,Non stressed
ఆయన్ను తేసేయక ఎంటమ్మా గోల,Non stressed
All the best,Non stressed
But too much overacting,Non stressed
VACCHINDHI CHUDHU. MERUPU THIGHA.,Non stressed
Naku kuda ee dialogue chala nachindi,Non stressed
Super...please continue the series,Non stressed
ఇది బరితెగించి రోడ్డున పడింది. దీనికి తోడు మరో లైగర్ వెధవ దీని బట్టలు కూడా విప్ఫేసి నడిరోడ్డున పడేసేలా ఉన్నాడు,Non stressed
Lekapothae karimnagar ane cheepeevada,Non stressed
Em chepinav nijam ga nen agree aytha,Non stressed
Adhe ga,Non stressed
నాకు దట్టపుత్రుడు అనగానే మన పవన్ అన్నే గుర్తుకు వస్తాడు,Non stressed
your multiple thinker,Non stressed
Jarina Mitaylu 2 vunay ga,Non stressed
Andukaee mogga gudusindhii movie,Non stressed
Evaru bro nuv intha talented mowa,Non stressed
Best jodi,Non stressed
I'm already watched all videos nonstop ga,Non stressed
సూపర్ బావగారు నిజం మా చెల్లి పేస్ ఎలా ఐపోయింది,Non stressed
Friendship bad ainapudu mana thelivi m aindi,Non stressed
Student episode 4 vunda,Non stressed
Kajal laga top heroine avutav le sreelila,Non stressed
Ammaylni chillara ga chuoinchadam lo raghavendra rao tarvate evarina,Non stressed
"If possible try to post two episodes a day
Because you guys worth it",Non stressed
Movie name pls reply.,Non stressed
Shannu is superb,Non stressed
Address chepthe intiki vachi thantharu kadha ani,Non stressed
Jai ravi teja,Non stressed
"Heroines kante Pani pillane baagundhi, super figure",Non stressed
Andukura chedagodutunnaru,Non stressed
పెద్ద పెద్ద.... తోరణలు.....,Non stressed
amazing one,Non stressed
Psycho bindu em chestundo ani andarikey bayam ey,Non stressed
అను కొద్దిగా బలిసినట్టు ఉంది,Non stressed
"Boyapati ki same line for all movies hero double action, one side action hero other side normal hero , before interval action hero will enter after interval flash back ending big fight..... heroine time waste bokka no scene to her
.. boyapati neku oka dandam same story entha mandi hero's tho teestav movie boring think differently yaaaa",Non stressed
ഈ വീഡിയോ കണ്ടതിനേക്കാളും എന്നെ സ്പർശിച്ചത് ഇത് വായിച്ചപ്പോളാണ്,Non stressed
Superb webseries,Non stressed
Akkada ekanga kiss kuda jarigindi le adi vere vishayam,Non stressed
Sunny eppudu na favourite,Non stressed
"She was mature enough when she was giving kiss to hero in pub.. She Wantedly did that, friend ami force cheyaledhu.. She did 70% mistake before spoiling her life by her friend..",Non stressed
"Ye mental sunny is the best and ""nee yamma puukuu masur paaku""",Non stressed
"Vedu yedho sadhinchadu adi yedho sadhinchindhi big boss lo Ave hug lu kiss lu,vedu ki next Hollywood lo chance vastadhi",Non stressed
Nammaku adukku thinu,Non stressed
Akka ninnu Chusthe Na mardal Gurthu Vacchindhi Akka ....,Non stressed
"Evaru swamy nuvvu intha talented ga unnav. ...
Super bro",Non stressed
Vaacci chudura,Non stressed
Best concept team I really liked it,Non stressed
Jabardast minchi comedy. Director deserve and Anasuya aunty deserves an Oscar,Non stressed
Thappu kaadaa . Pelli ainaka verey vaadu influence chesadu ani ala chesi consequences valla ala aindi antey saripothada? ... BF unnaka inko boy em avasaram ... Boy kaavalantey thana intensions 90% Theda ga unnai ani ay ... Evarina BF untey muskoni verey boy ki dooram undandii,Non stressed
ప్రేమంటే ఏంటో తెలియాలి అంటే సీత రామము చూడాలి ప్రేమ ఎలా ఉండకూడదో చూడాలంటే బేబీ చూడాలి,Non stressed
"వామ్మో శశిర కూడా సపరేట్ చానలా ఇంకెన్ని చానల్స్ చూడాల్సి వస్తుందో వీళ్ళందరూ ప్రశు బేబీ తో స్టార్ట్ చేశారు ఇప్పటికీ 20 కావచ్చు.,...
అందరు యూట్యూబ్ని చాలా వాడేస్తున్నారు....",Non stressed
Heart touch bro,Non stressed
శ్యామల గారు మీరు సూపర్,Non stressed
Chai Bisket....The creative World,Non stressed
Am waiting shannu. Ni style evadaniki radu dialouge lu evaru enni chepina nuvv vere. Mr shannu late ga vachina latest ga hit kodathadu,Non stressed
Ammai thighs chudu bro,Non stressed
Yup bro it's music compose and lyrics are kinda gives feelings of an cute &sweet love story. Really a heartfelt song,Non stressed
ఉప్పల్ బాలు అనుకున్న,Non stressed
Aunty matram,Non stressed
Nuvvu pichodivani chutu vunavalu ante nuvvu pichodivi ayipotava .,Non stressed
All the best sudheer,Non stressed
Shishira big fan of you and chaya,Non stressed
vaadi meeda vaadike nammakam ledu,Non stressed
Love you so so so much beautiful kajal,Non stressed
​ @sudheerrajugadhiraju1511 ,Non stressed
Bro full episodes ekkada,Non stressed
Series name plz....,Non stressed
Bro make into full video episode and upload bro,Non stressed
ప్రసాద్ గారు ఇలాంటి పాస్వర్డ్ కూడా పెడతారా సూపర్,Non stressed
అందరు మoచివారే,Non stressed
​ @avinashteja1620  lanjodka,Non stressed
పాప బట్టలు చాలా పొదుపుగా వేసింది,Non stressed
Nenu kuda,Non stressed
Beautiful couples,Non stressed
వారిద్దరు వారి కుటుంబ సభ్యులు నిండు నూరేండ్లు అన్ని విధాలా బాగుండాలి అని సతుల సమేత భగవంతునికి దేవునికి ప్రార్ధన.....,Non stressed
Hi uncle and aunty,Non stressed
Cinema chusthu vunnantha sepu maku kuda akkade adhirindhi aa bgm ithe ika peaks it's a emotional ride#baby,Non stressed
​ @jalsa_ganesh2.046  Book lo unnate undha eppativaraku movies lo...avanni apudo marshipoiru...,Non stressed
Big fan of you shannu garu mireppudu happy ga undali,Non stressed
 @MohanMohan-sq3pu  friends leru ante koncham nvvu vachindi,Non stressed
സത്യം പറഞ്ഞാൽ ഇത് കണ്ടപ്പോ കണ്ണ് നിറഞ്ഞുപോയി... എനിക്ക് ഒത്തിരി ഇഷ്ട ചേട്ടന്മാരെ.. നമ്മുക്ക് എന്തേലും ബുദ്ധിമുട്ട് വന്നാൽ അവർ ആയിരിക്കും ഓടി എത്തുവാ.. നിർഭാഗ്യവച്ചാൽ എനിക്കങ്ങനെ ഒരു സഹോദരൻ ഇല്ല,Non stressed
Not cute memory itz sexy memory,Non stressed
Seriously waiting for episode anna,Non stressed
Episode 3 eppudu Bro,Non stressed
"Idi message echinatu ledu bharyani savagotandi ani chepinattu undi I’m sorry if you got offended, I can understand you tried to reach out a good message but this is not the way to convey it",Non stressed
I understand,Non stressed
Yas bro,Non stressed
"Aa ammayi kanna ,bro nuvve bagunnavu... makeup thisthe ame pani manishila vuntadi",Non stressed
ABHIJEET WHAT A BEAUTIFUL PERSON,Non stressed
Raktha Sambandam ఎంత కరుణా ముర్తివయ్య ఎంత చల్లని తండ్రివయ్య,Non stressed
INKA NAYAM ICE CREAM TINALEDU,Non stressed
Nenu na boyfriends mve name,Non stressed
so క్యూట్,Non stressed
Ne comment tho nakem pane mari,Non stressed
Full episode kavali,Non stressed
Anna full movie name chepu,Non stressed
సదర్ దున్నపోతు వస్తున్నట్ ఉంది,Non stressed
 @jalsa_ganesh2.046  areey nadhi hyd ehh asal m matladtunvo nikaina ardm itunda,Non stressed
Yi natraj and shannu( appadam star) villaku yedotudu Baga adutunnaru ani anipiste Chala drama lu creat chese vallu,Non stressed
 @subashm1230  I ALWAYS FOCUS ON GOALS.... NOT HOLES,Non stressed
anta ledu bagundi,Non stressed
"​ @bjgamerho467  nenu daily pledge cheppedanni vandematram and Jana gana mana song paade Danni and news appudapudu, school days",Non stressed
 @sanjg5163  ha,Non stressed
Best jodi,Non stressed
Bro be careful bayata kanapadithe korikestharu....,Non stressed
Adhi personal idhi show.. she has love for him but also she hates him for his bhvr.. it's difficult to accept.. thanu Baga matured ga bhv chesindhi,Non stressed
Ledu andi,Non stressed
గుంట బాగుంది,Non stressed
Avasaram ledu.. Hyd lo srikakulam vallu chala unnaru... Moosapet.. Karmika nagar.. Parvatha nagar,Non stressed
అందుకే త్వరగా వెళ్లిపోయావ్,Non stressed
ఏం చేయమంటావ్ ఇంపీరియల్ బ్లూ ఎక్కినంత ఈజీగా ఇంగ్లీష్ ఎక్కడం లేదు మరి..,Non stressed
No real winner revanth,Non stressed
హై ఇది అందరి లైఫ్ లొ జరిగే ఒక చిన్న అంశం ల అనిపించి చూడగానే. ఆ అమ్మాయి ఇష్టపడుతుంది. బట్ వాడు ఇంకో అమ్మాయిని చూడగానే పరుగున వచ్చాడు.,Non stressed
Ee web series ela chudali,Non stressed
Adress pls,Non stressed
ఏదో యుద్ధం గెలిచి వచ్చినట్లు యాక్టింగ్,Non stressed
My fvrt vijay devarakonda and vaishnavi chaitanya,Non stressed
Liger povadam... manodu melkunnadu.. all is well,Non stressed
Laptop password Prem dam dam Paya anta asalu Prasad garu meeru leka,Non stressed
This is sooo adorable story please make a Series on it!!!!!,Non stressed
Super Amma super,Non stressed
​ @manojnaidu1713 well said bro,Non stressed
Fact bro,Non stressed
After siri enter in bb srihan expression was సూపర్,Non stressed
Siri love u so much best gamer miss u so much,Non stressed
Freegana views vasthe money vasthundhi kadha,Non stressed
A herion name nti bro ????,Non stressed
That's not true..actually u r addicted actress looks,Non stressed
No..ellarum angane alla..:-(,Non stressed
తోరణాలు గారు ఏంటి అంత పెంచారు,Non stressed
Cute punishment shannu anna,Non stressed
 @pranaamp5510  iena mee magalle mundhu sorry cheppalli telusa,Non stressed
Last lo upma super,Non stressed
Old series madhylo apesr bro...,Non stressed
Kitne achhe kidnappers hai,Non stressed
Ultimately talented,Non stressed
 @pranaamp5510  I prepare a dose chutney for my family bath means,Non stressed
Arjun ippudu baga realise ayyadu this is old video,Non stressed
U r right sir meeru cheppindi right,Non stressed
srihan Elaney cheste shannu and deepti sunaina ayinatte srihan and Siri kuda diverse,Non stressed
Swasthik ki swathi Anukoni message chesademo,Non stressed
I love you,Non stressed
2022lo..2023lo kadhu 2030 lo kuda best song,Non stressed
Get lost,Non stressed
Entha paddathiga vunna deeniki nalabai pellillu aina acharyam ledu babu,Non stressed
"Nu mundu actor spelling nerchuko.... A tarwatha statement lu idduv.... Prathi vadu judge chese vaade.... "" Eedu manchodu... Aadu cheddodu... "" Idi maneyandra... Mundu.... Ne bathuku nu telsukoo adhi chaaaluuu",Non stressed
Madam Bagundhi,Non stressed
Great catch,Non stressed
Sweet memories Meeka vallaka,Non stressed
Ada Puli Bindhu,Non stressed
E series lo dharani gari acting eta mandiki nachindi,Non stressed
పోసాని గాడికి అవే కరెక్ట్,Non stressed
"YouTube Web series name: Sujata Subramanyam
Actor: Pavan Siddu
Actress: Sonia Singh",Non stressed
కలల్లో నుండి బయటకు రానివ్వరారా....మమ్మల్ని!!!,Non stressed
​ @manojnaidu1713 well said bro,Non stressed
Then tell him to beat atleast day 1 Radhesyam records challenge??,Non stressed
Nice good chala bagundi,Non stressed
Hence proved okati chalu,Non stressed
ప్రేమ్ ధన్ ధన్ పాయో,Non stressed
​ @kumaraswamypangi6021 aunty enduku vastundhi,Non stressed
gundu hanumanth rao garu,Non stressed
Laptop display damage,Non stressed
Sreeleela Telugu ammayi,Non stressed
Story cheppu,Non stressed
"Last dialogue lo Hero "" Navin polisetty"" gurthuku vacharu anna...Super acting asalu...Very nice..keepitup bro",Non stressed
"Series chudu bro
Company valla nanna freind di recemendation job",Non stressed
 @angelasha610  adhe kada,Non stressed
‍idedayya idi dance aah,Non stressed
 @swathikodurupaka6910  nenu kuda vadhulukonu ninnu,Non stressed
Bagundhi bro,Non stressed
"వీడియో నచ్చితే లైక్ కొట్టు లేదా లైట్ తీస్కో, తీసుకో, జై హింద్",Non stressed
Correct ga chepparu bro,Non stressed
"Kajal akka very nice good super beautiful cute girl actor dancer
I am kajal sis fan very big fan",Non stressed
Yess set kaledu,Non stressed
ఈ మహమ్మద్ శ్రీహన్ గాడు వేస్ట్ గాడు 40 లక్షలు తీసుకొని వచ్చాడు రేవంత్ రియల్ హీరో విన్నర్ వీడు విని వెటకారం బిగ్ బాస్ లో చూడలేకపోయాం,Non stressed
Mr. Shannu is back,Non stressed
అమ్మ చాలా థాంక్స్ అమ్మ సినిమా ఇండస్ట్రీకి వజ్రం లాంటి మా అన్నయ్య చిరంజీవిగారిని ఇచ్చావు,Non stressed
బాబులు మేకప్ వేస్తే ఎవరైన ఇళ్లనే ఉంటారు అది నిజం అనుకుంటే ఎలా .. just early morning చిరిగిన నైటీ లో మేకప్ లేకుండా జస్ట్ థింక్ .. పారి పోవటం పక్క ..,Non stressed
Itu vanti manakosam alochinche mitrulu dorakadam kastam prastutakalam lo,Non stressed
​ @lucifer8082 ,Non stressed
Okkadu songs the two cheppavey chirugali and nuv yem maya chesavo gani r my favorite actually,Non stressed
"Varunnavarum undu, 8 nte pani tharunnavarum undu.....anubhavam guru",Non stressed
Medam miru madhu bala lagha unnaru,Non stressed
నాకు చాలా సంతోషంగా వుంది....ఫ్యూచర్ లో మొత్తం మన తెలంగాణ వాళ్ళే... టాలీవుడ్ నీ ఏలబోతున్నారని....,Non stressed
​ @dineshkumaryanamadala3475  abijeet,Non stressed
Hotel task lo revenge untadhi ra Chari,Non stressed
"Aa ammayiki antha seenu ledu bayya, thanakante nuvve handsome unnav better change her or else change the concept",Non stressed
"Wtf , asala vaishnavi ki life echinda shannu",Non stressed
Big boss trools lo ninnu minchinavallu leru broo,Non stressed
Ravi bro nee yaasa bagundandi,Non stressed
Siri koncham thagisthe baguntundi,Non stressed
Butiful friendship..... Never end this bounding,Non stressed
మనకు ఛాన్స్ ఇస్తాడా,Non stressed
Deep shanu cute pair,Non stressed
Such a lovely seen to see Ramcharan with his grandmother,Non stressed
movie name : Aunty,Non stressed
"Andaru valla comedy chustunnaru
Kani nenu matram andulo unde KF ultra pintlu and wine bottle chusa...",Non stressed
Papa endi antha undi,Non stressed
Bro నువ్వు మంచి acting. Natural స్టార్ లాగా. నీకు మంచి feature ఉంది,Non stressed
 @sanjg5163  just doubt bro,Non stressed
"Every dialouge superb Anna, hey upma sorry anupama superb anna",Non stressed
Cinema boss megastar,Non stressed
well said.. best lines.. certainly we should appreciate dialogue writers. in short they give so much essence of life.. :),Non stressed
 @tangelosvenkannababutangel9823  poni aa place lo meru undi chudandi. Aa sodhi chepadanki kuda chala guts with confidence undali.,Non stressed
Flop movie,Non stressed
Mother of Megastar nd Powerstar - Anjanamma,Non stressed
Cinema chudu telusddi,Non stressed
"Yes memu same cheppevallam
Sweet memories",Non stressed
Rasmika fixed for Vijay,Non stressed
Bro episoeds anni suthiga unnai..,Non stressed
సార్ చెప్తారా అదే ఆర్డర్,Non stressed
Same bro,Non stressed
Yes you are right....,Non stressed
"Bindu madavi 38 years aaa unbelievable, she looks very young beautiful , infact eppude enka bagundhi..! Looking like college going gal",Non stressed
At least amai Bane untadhi abai matram em ayipothado evariki theledu,Non stressed
Eppatiki minimum 20 times chusuntaa,Non stressed
Lavu ayipothundhi,Non stressed
Cute jodo plz shannu dipti sunayana okkata Vali god bless you,Non stressed
